구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59,00:00~00:29,00:30~00:59
김포공항,6 ,31 ,42 ,61 ,74 ,83 ,81 ,64 ,50 ,36 ,32 ,26 ,28 ,26 ,25 ,25 ,24 ,19 ,21 ,22 ,23 ,21 ,25 ,24 ,25 ,28 ,27 ,21 ,12 ,14 ,12 ,13 ,11 ,13 ,13 ,7 ,0 ,0 ,0 
마곡나루,13 ,38 ,44 ,70 ,92 ,103 ,106 ,91 ,59 ,45 ,39 ,35 ,35 ,36 ,33 ,33 ,31 ,29 ,25 ,32 ,29 ,30 ,37 ,44 ,49 ,55 ,42 ,35 ,22 ,19 ,21 ,22 ,17 ,18 ,16 ,9 ,2 ,0 ,0 
가양,30 ,42 ,60 ,101 ,128 ,139 ,131 ,120 ,84 ,65 ,52 ,49 ,48 ,50 ,48 ,45 ,45 ,40 ,36 ,45 ,41 ,44 ,49 ,59 ,63 ,82 ,58 ,45 ,28 ,27 ,27 ,28 ,23 ,23 ,20 ,15 ,8 ,0 ,0 
염창,41 ,53 ,74 ,119 ,154 ,173 ,162 ,159 ,106 ,79 ,63 ,62 ,55 ,60 ,56 ,54 ,52 ,47 ,40 ,48 ,44 ,48 ,56 ,66 ,68 ,89 ,64 ,52 ,33 ,30 ,29 ,30 ,25 ,26 ,21 ,16 ,9 ,0 ,0 
당산,31 ,51 ,77 ,118 ,154 ,171 ,160 ,161 ,108 ,84 ,71 ,64 ,57 ,64 ,61 ,58 ,57 ,51 ,47 ,50 ,49 ,52 ,58 ,67 ,69 ,88 ,79 ,54 ,34 ,33 ,33 ,34 ,32 ,31 ,24 ,19 ,14 ,0 ,0 
여의도,35 ,49 ,73 ,118 ,154 ,187 ,154 ,171 ,121 ,95 ,80 ,77 ,66 ,73 ,74 ,70 ,71 ,65 ,59 ,67 ,69 ,77 ,87 ,124 ,139 ,157 ,141 ,98 ,65 ,65 ,60 ,62 ,55 ,49 ,33 ,28 ,18 ,0 ,0 
노량진,49 ,62 ,86 ,133 ,165 ,195 ,169 ,187 ,150 ,105 ,87 ,80 ,71 ,77 ,80 ,74 ,77 ,70 ,63 ,72 ,74 ,77 ,91 ,123 ,138 ,151 ,149 ,98 ,69 ,65 ,67 ,65 ,64 ,56 ,41 ,30 ,17 ,0 ,0 
동작,54 ,60 ,88 ,123 ,159 ,194 ,174 ,190 ,159 ,117 ,103 ,91 ,79 ,85 ,90 ,84 ,87 ,79 ,72 ,75 ,86 ,86 ,94 ,114 ,131 ,139 ,142 ,93 ,68 ,60 ,62 ,61 ,60 ,52 ,44 ,35 ,19 ,0 ,0 
고속터미널,31 ,45 ,59 ,94 ,129 ,158 ,156 ,151 ,152 ,96 ,79 ,70 ,64 ,66 ,71 ,69 ,70 ,65 ,62 ,60 ,71 ,71 ,78 ,97 ,109 ,116 ,132 ,88 ,67 ,55 ,54 ,56 ,52 ,47 ,43 ,31 ,17 ,0 ,0 
신논현,25 ,34 ,43 ,61 ,90 ,121 ,114 ,105 ,107 ,71 ,60 ,52 ,49 ,53 ,53 ,55 ,53 ,52 ,49 ,47 ,58 ,54 ,59 ,77 ,85 ,94 ,104 ,73 ,57 ,47 ,49 ,51 ,50 ,46 ,39 ,28 ,18 ,5 ,0 
선정릉,21 ,25 ,29 ,42 ,58 ,75 ,74 ,62 ,65 ,46 ,42 ,37 ,37 ,38 ,41 ,42 ,40 ,41 ,38 ,37 ,45 ,43 ,49 ,60 ,70 ,84 ,92 ,65 ,50 ,41 ,42 ,44 ,43 ,41 ,34 ,25 ,17 ,7 ,0 
봉은사,17 ,19 ,19 ,30 ,37 ,46 ,37 ,33 ,33 ,25 ,24 ,21 ,23 ,25 ,27 ,30 ,27 ,30 ,27 ,29 ,35 ,38 ,45 ,53 ,67 ,87 ,90 ,63 ,49 ,41 ,41 ,43 ,42 ,40 ,36 ,25 ,18 ,6 ,0 
종합운동장,7 ,17 ,15 ,24 ,29 ,39 ,31 ,23 ,26 ,21 ,20 ,17 ,19 ,21 ,24 ,24 ,23 ,25 ,23 ,24 ,29 ,32 ,38 ,47 ,61 ,76 ,87 ,61 ,47 ,36 ,37 ,39 ,39 ,36 ,34 ,22 ,15 ,5 ,0 
석촌,0 ,12 ,9 ,15 ,14 ,17 ,17 ,10 ,12 ,12 ,14 ,10 ,10 ,12 ,16 ,15 ,12 ,16 ,14 ,14 ,17 ,18 ,21 ,25 ,36 ,44 ,52 ,33 ,26 ,19 ,20 ,21 ,23 ,20 ,19 ,12 ,8 ,6 ,0 
올림픽공원,0 ,6 ,5 ,9 ,9 ,11 ,8 ,6 ,8 ,8 ,8 ,6 ,4 ,5 ,9 ,8 ,7 ,9 ,7 ,5 ,7 ,7 ,9 ,9 ,15 ,17 ,24 ,16 ,12 ,8 ,7 ,9 ,11 ,9 ,7 ,6 ,4 ,3 ,0 
중앙보훈병원,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 